instance,method,category,seed,cost,reference_cost,gap_percent,routes,vehicle_count,is_valid,missing_customers_count,duplicated_customers_count,capacity_violations_count,train_time_sec,inference_time_sec,postprocess_time_sec,total_time_sec,episodes,notes,source_file,rank_by_cost
A-n37-k5,Q-learning RL,rl_baseline,46.0,946.0,669.0,41.4050822122571,5,5,False,1,0,0,19.97393830004148,0.0237772000255063,0.0,19.997715500066988,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,8.0
A-n39-k6,Q-learning RL,rl_baseline,42.0,1256.0,831.0,51.143200962695545,6,6,True,0,0,0,13.236137499974577,0.0063005000120028,0.0,13.242437999986578,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,5.0
A-n39-k6,Q-learning RL,rl_baseline,43.0,1077.0,831.0,29.6028880866426,6,6,True,0,0,0,10.173038900014944,0.005065299978014,0.0,10.178104199992958,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,5.0
A-n39-k6,Q-learning RL,rl_baseline,44.0,1110.0,831.0,33.57400722021661,6,6,False,1,0,0,10.37268250004854,0.0052428000490181,0.0,10.37792530009756,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,5.0
A-n39-k6,Q-learning RL,rl_baseline,45.0,1068.0,831.0,28.51985559566787,6,6,False,1,0,0,8.523849899997003,0.0062222999986261,0.0,8.53007219999563,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,5.0
A-n39-k6,Q-learning RL,rl_baseline,46.0,1075.0,831.0,29.36221419975932,6,6,False,1,0,0,7.885373199998867,0.0055236999760381,0.0,7.890896899974905,1000.0,"Baseline RL tabulaire avec état discret (noeud courant, capacité restante, clients visités, routes utilisées).",results\q_learning\experiments_q_learning.csv,5.0
A-n32-k5,POMO-style multi-greedy,rl_main,42.0,1093.0,784.0,39.41326530612245,5,5,True,0,0,0,720.1074171999935,0.3879940999904647,0.0,720.495411299984,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,8.0
A-n32-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,42.0,916.0,784.0,16.83673469387755,5,5,True,0,0,0,720.1074171999935,0.3879940999904647,0.0017471999744884,720.4971584999585,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n32-k5,POMO-style sampled eval,rl_main,42.0,1096.0,784.0,39.795918367346935,5,5,True,0,0,0,720.1074171999935,8.24664580001263,0.0,728.3540630000061,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,7.0
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,42.0,930.0,784.0,18.62244897959184,5,5,True,0,0,0,720.1074171999935,8.24664580001263,0.0022319999989122,728.356295000005,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n32-k5,POMO-style best sampled,rl_main,42.0,1050.0,784.0,33.92857142857143,5,5,True,0,0,0,720.1074171999935,0.0,0.0,720.1074171999935,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,6.0
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,42.0,931.0,784.0,18.75,5,5,True,0,0,0,720.1074171999935,0.0,0.0017245000344701,720.109141700028,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n32-k5,POMO-style multi-greedy,rl_main,43.0,1080.0,784.0,37.755102040816325,5,5,True,0,0,0,724.4964986999985,0.4163169999956153,0.0,724.9128156999941,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,8.0
A-n32-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,43.0,928.0,784.0,18.367346938775512,5,5,True,0,0,0,724.4964986999985,0.4163169999956153,0.0015452000079676,724.9143609000021,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n32-k5,POMO-style sampled eval,rl_main,43.0,1056.0,784.0,34.69387755102041,5,5,True,0,0,0,724.4964986999985,7.691509600030258,0.0,732.1880083000287,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,7.0
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,43.0,969.0,784.0,23.596938775510203,5,5,True,0,0,0,724.4964986999985,7.691509600030258,0.0012935999548062,732.1893018999835,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n32-k5,POMO-style best sampled,rl_main,43.0,1034.0,784.0,31.887755102040817,5,5,True,0,0,0,724.4964986999985,0.0,0.0,724.4964986999985,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,6.0
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,43.0,937.0,784.0,19.51530612244898,5,5,True,0,0,0,724.4964986999985,0.0,0.0025724000297486,724.4990711000282,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n32-k5,POMO-style multi-greedy,rl_main,44.0,1116.0,784.0,42.3469387755102,5,5,True,0,0,0,731.443948500033,0.4263263000175357,0.0,731.8702748000505,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,8.0
A-n32-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,44.0,916.0,784.0,16.83673469387755,5,5,True,0,0,0,731.443948500033,0.4263263000175357,0.0018907000194303,731.87216550007,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n32-k5,POMO-style sampled eval,rl_main,44.0,1113.0,784.0,41.96428571428572,5,5,True,0,0,0,731.443948500033,7.317693400022108,0.0,738.7616419000551,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,7.0
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,44.0,963.0,784.0,22.831632653061224,5,5,True,0,0,0,731.443948500033,7.317693400022108,0.0031524000223726,738.7647943000775,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n32-k5,POMO-style best sampled,rl_main,44.0,1052.0,784.0,34.18367346938776,5,5,True,0,0,0,731.443948500033,0.0,0.0,731.443948500033,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,6.0
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,44.0,1015.0,784.0,29.464285714285715,5,5,True,0,0,0,731.443948500033,0.0,0.0043146000243723,731.4482631000574,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n32-k5,POMO-style multi-greedy,rl_main,45.0,956.0,784.0,21.93877551020408,5,5,True,0,0,0,725.67198069999,0.3932620999985374,0.0,726.0652427999885,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,8.0
A-n32-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,45.0,955.0,784.0,21.81122448979592,5,5,True,0,0,0,725.67198069999,0.3932620999985374,0.0011534999939613,726.0663962999824,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n32-k5,POMO-style sampled eval,rl_main,45.0,963.0,784.0,22.831632653061224,5,5,True,0,0,0,725.67198069999,7.633598699991126,0.0,733.3055793999811,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,7.0
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,45.0,942.0,784.0,20.1530612244898,5,5,True,0,0,0,725.67198069999,7.633598699991126,0.0009474999969825,733.306526899978,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n32-k5,POMO-style best sampled,rl_main,45.0,959.0,784.0,22.321428571428573,5,5,True,0,0,0,725.67198069999,0.0,0.0,725.67198069999,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,6.0
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,45.0,912.0,784.0,16.3265306122449,5,5,True,0,0,0,725.67198069999,0.0,0.0021530999802052,725.6741337999701,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n32-k5,POMO-style multi-greedy,rl_main,46.0,1087.0,784.0,38.64795918367347,5,5,True,0,0,0,726.4998952000169,0.3803456000168808,0.0,726.8802408000338,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,8.0
A-n32-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,46.0,925.0,784.0,17.98469387755102,5,5,True,0,0,0,726.4998952000169,0.3803456000168808,0.0014153999509289,726.8816561999847,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n32-k5,POMO-style sampled eval,rl_main,46.0,1062.0,784.0,35.45918367346938,5,5,True,0,0,0,726.4998952000169,7.388620699988678,0.0,733.8885159000056,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,7.0
A-n32-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,46.0,928.0,784.0,18.367346938775512,5,5,True,0,0,0,726.4998952000169,7.388620699988678,0.0019788000499829,733.8904947000556,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n32-k5,POMO-style best sampled,rl_main,46.0,1037.0,784.0,32.27040816326531,5,5,True,0,0,0,726.4998952000169,0.0,0.0,726.4998952000169,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,6.0
A-n32-k5,POMO-style best sampled + 2-opt,rl_main_local_search,46.0,976.0,784.0,24.489795918367346,5,5,True,0,0,0,726.4998952000169,0.0,0.0014844000106677,726.5013796000276,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n37-k5,POMO-style multi-greedy,rl_main,42.0,1036.0,669.0,54.85799701046338,5,5,True,0,0,0,834.6274455999956,0.4609441999928094,0.0,835.0883897999884,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,11.0
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,42.0,907.0,669.0,35.57548579970104,5,5,True,0,0,0,834.6274455999956,0.4609441999928094,0.0029053000034764,835.0912950999918,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n37-k5,POMO-style sampled eval,rl_main,42.0,1041.0,669.0,55.60538116591929,5,5,True,0,0,0,834.6274455999956,8.712739499984309,0.0,843.3401850999799,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,10.0
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,42.0,880.0,669.0,31.53961136023916,5,5,True,0,0,0,834.6274455999956,8.712739499984309,0.0031275000073947,843.3433125999873,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n37-k5,POMO-style best sampled,rl_main,42.0,1013.0,669.0,51.42002989536621,5,5,True,0,0,0,834.6274455999956,0.0,0.0,834.6274455999956,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,9.0
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,42.0,866.0,669.0,29.446935724962632,5,5,True,0,0,0,834.6274455999956,0.0,0.0145672000362537,834.6420128000318,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n37-k5,POMO-style multi-greedy,rl_main,43.0,1104.0,669.0,65.02242152466367,5,5,True,0,0,0,822.8485243999748,0.4679577999631874,0.0,823.316482199938,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,11.0
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,43.0,957.0,669.0,43.04932735426009,5,5,True,0,0,0,822.8485243999748,0.4679577999631874,0.0028715000371448,823.3193536999752,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n37-k5,POMO-style sampled eval,rl_main,43.0,1084.0,669.0,62.03288490284006,5,5,True,0,0,0,822.8485243999748,8.858979500015266,0.0,831.7075038999901,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,10.0
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,43.0,832.0,669.0,24.364723467862483,5,5,True,0,0,0,822.8485243999748,8.858979500015266,0.0029360000044107,831.7104398999945,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n37-k5,POMO-style best sampled,rl_main,43.0,1076.0,669.0,60.83707025411061,5,5,True,0,0,0,822.8485243999748,0.0,0.0,822.8485243999748,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,9.0
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,43.0,899.0,669.0,34.3796711509716,5,5,True,0,0,0,822.8485243999748,0.0,0.0187995000160299,822.8673238999909,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
